Term,Category,Genes
Bromo adjacent homology (BAH) domain,Nuclear,MTA2 MTA1 ORC1 PBRM1 TNRC18 DNMT1
"Phosphatidylinositol 3-kinase, C2 domain",Catalytic,PIK3CG PIK3C3 PIK3CD PIK3CB PIK3C2A
MCM OB domain,Nuclear,MCM2 MCM7 MCM3 MCM5 MCM4
"Ras-like guanine nucleotide exchange factor, N-terminal",Cytoplasmic,RASGRF2 RAPGEF1 RASGRP1 RASGRP2 RAPGEF3 SOS1 RASGRP3 RAPGEF2 RASGRF1
Ubiquitin specific protease domain,Catalytic,USP15 USP37 USP10 PAN2 USP25 USP24 USP16 USP14 USP9X USP4 USP35 USP2 USP28 USP20 USP34 USP1 USP7 USP21 USP13 CYLD USP8 USP11
Sterile alpha motif domain,Nuclear,EPHA4 SASH1 SCML2 INPPL1 EPHB3 DGKD EPHB2 PPP1R9A EPHB1 ARAP1 TP73 DLC1 MAP3K20 LCP2 EPHA3 EPHA2 EPHA8 TNKS SAMHD1 CNKSR1 STIM1 TP63 PPFIA1 SARM1
"Tubulin/FtsZ, GTPase domain",Structural,TUBA1A TUBB2A TUBB TUBA4A TUBG1 TUBB3 TUBA1C TUBG2 TUBA1B
"MAD homology 1, Dwarfin-type",Nuclear,SMAD6 SMAD9 SMAD4 SMAD2 SMAD3 SMAD1
IRS-type PTB domain,Cytoplasmic,DOK1 FRS3 IRS1 IRS4 IRS2 DOK2
Small GTP-binding protein domain,Cytoplasmic,CDC42 LRRK2 RRAS2 HRAS NRAS REM1 EEF2 RHOU RAC1 ERAL1 RAB1A RHOB RASD2 RHOA RAB11A RRAD RAP1B RAB4A RHEB RHOT1 RAB8A RAB5B RAP1A RRAS RAB34 RAN RIT1 RALB GEM RALA DRG1 RAB37 RAB10 RAB5A KRAS RND3 DRG2
"Peptidase C19, ubiquitin carboxyl-terminal hydrolase",Catalytic,USP15 USP37 USP10 USP25 USP24 USP16 USP14 USP9X USP4 USP35 USP2 USP28 USP20 USP34 USP1 USP7 USP21 USP13 CYLD USP8 USP11
Tetratricopeptide repeat-containing domain,Cytoplasmic,ST13 NCF2 CDC16 NOXA1 KLC2 RPAP3 FKBP4 PPP5C KLC1 PEX5 NASP GPSM2 RGPD8 ERCC6L SPAG1 RGPD3 RGPD6 TANC1 OGT TTC3 KLC4 FKBP5 CDC23 CTR9 CDC27 ANAPC7 RGPD4 SUGT1 RANBP2 AIP
Cold-shock (CSD) domain,Nuclear,YBX3 CARHSP1 YBX1 YBX2
Rab-binding domain FIP-RBD,Catalytic,RAB11FIP2 RAB11FIP3 RAB11FIP5 RAB11FIP1
FATC domain,Catalytic,PRKDC MTOR ATM ATR
MCM domain,Nuclear,MCM2 MCM7 MCM3 MCM5 MCM4
PIK-related kinase,Catalytic,PRKDC MTOR ATM ATR
CP2 transcription factor,Nuclear,TFCP2L1 TFCP2 GRHL3 GRHL1
"E2F transcription factor, CC-MB domain",Nuclear,E2F1 E2F3 E2F6 E2F4
Histidine kinase/HSP90-like ATPase,Catalytic,TRAP1 PDK1 BCKDK HSP90B1 TOP2A TOP2B HSP90AB1 MORC2 HSP90AA1 MLH1
"Serine/threonine-protein kinase OSR1/WNK, CCT domain",Catalytic,WNK4 STK39 OXSR1 WNK1
"Helicase/UvrB, N-terminal",Nuclear,IFIH1 FANCM ERCC3 UPF1
Growth factor receptor domain 4,Cytoplasmic,EGFR ERBB2 ERBB3 ERBB4
Glutamine amidotransferase,Catalytic,GMPS CAD CTPS2 CTPS1
"Formin, GTPase-binding domain",Structural,INF2 DIAPH1 DIAPH3 DAAM1 FMNL2
"Formin, FH3 domain",Structural,INF2 DIAPH1 DIAPH3 DAAM1 FMNL2
"Initiation factor eIF-4 gamma, MA3",Nuclear,EIF4G2 EIF4G1 PDCD4 EIF4G3
Dual specificity protein phosphatase domain,Catalytic,SSH1 DUSP1 DUSP3 EPM2A DUSP10 DUSP16 DUSP5 DUSP6 CDC14A SSH3 DUSP4
"Zinc finger, LIM-type",Nuclear,LIMD1 LIMK1 ZYX TRIP6 MICAL2 AJUBA FHL1 LIMK2 CRIP2 MICALL1 LASP1 LPP LMO7 ISL1 FHL2 LIMA1 PXN TGFB1I1 LPXN
PAS fold-3,Cytoplasmic,AHR SIM2 PER2 EPAS1 PER3 HIF1A
"Basic leucine zipper domain, Maf-type",Nuclear,NFE2L2 NFE2L1 NFE2 MAFG MAFA BACH2
FERM domain,Cytoplasmic,TYK2 RDX JAK2 PTK2 EZR JAK3 EPB41 JAK1 MSN TLN1 NF2 PTK2B PTPN3 EPB41L3
"Dual specificity phosphatase, catalytic domain",Catalytic,SSH1 DUSP1 DUSP3 EPM2A DUSP16 DUSP10 DUSP5 DUSP6 CDC14A PTEN SSH3 DUSP4
