UniProt,GeneName,Group,FullName
Q53HL2,CDCA8,Non-kinase,Cell division cycle associated 8
Q9H5V8,CDCP1,Non-kinase,Cub domain containing protein 1
P12830,CDH1,Non-kinase,Cadherin 1
P19022,CDH2,Non-kinase,Cadherin 2
P33151,CDH5,Non-kinase,Cadherin 5
P06493,CDK1,CMGC,Cyclin dependent kinase 1
P24941,CDK2,CMGC,Cyclin dependent kinase 2
O14519,CDK2AP1,Non-kinase,Cyclin dependent kinase 2 associated protein 1
Q00526,CDK3,CMGC,Cyclin dependent kinase 3
P11802,CDK4,CMGC,Cyclin dependent kinase 4
Q00535,CDK5,CMGC,Cyclin dependent kinase 5
Q15078,CDK5R1,Non-kinase,Cyclin dependent kinase 5 regulatory subunit 1
Q96SN8,CDK5RAP2,Non-kinase,Cdk5 regulatory subunit associated protein 2
Q00534,CDK6,CMGC,Cyclin dependent kinase 6
P50613,CDK7,CMGC,Cyclin dependent kinase 7
P49336,CDK8,CMGC,Cyclin dependent kinase 8
P50750,CDK9,CMGC,Cyclin dependent kinase 9
Q15131,CDK10,CMGC,Cyclin dependent kinase 10
Q9UQ88,CDK11A,Non-kinase,Cyclin dependent kinase 11a
P21127,CDK11B,CMGC,Cyclin dependent kinase 11b
Q9NYV4,CDK12,CMGC,Cyclin dependent kinase 12
Q14004,CDK13,CMGC,Cyclin dependent kinase 13
O94921,CDK14,CMGC,Cyclin dependent kinase 14
Q96Q40,CDK15,CMGC,Cyclin dependent kinase 15
Q00536,CDK16,CMGC,Cyclin dependent kinase 16
Q07002,CDK18,CMGC,Cyclin dependent kinase 18
Q9BWU1,CDK19,CMGC,Cyclin dependent kinase 19
Q8IZL9,CDK20,CMGC,Cyclin dependent kinase 20
Q92772,CDKL2,CMGC,Cyclin dependent kinase like 2
O76039,CDKL5,CMGC,Cyclin dependent kinase like 5
P38936,CDKN1A,Non-kinase,Cyclin dependent kinase inhibitor 1a
P46527,CDKN1B,Non-kinase,Cyclin dependent kinase inhibitor 1b
P49918,CDKN1C,Non-kinase,Cyclin dependent kinase inhibitor 1c
P42771,CDKN2A,Non-kinase,Cyclin dependent kinase inhibitor 2a
Q8N726,CDKN2A,Non-kinase,Cyclin dependent kinase inhibitor 2a
P55273,CDKN2D,Non-kinase,Cyclin dependent kinase inhibitor 2d
Q9H211,CDT1,Non-kinase,Chromatin licensing and dna replication factor 1
Q99626,CDX2,Non-kinase,Caudal type homeobox 2
P13688,CEACAM1,Non-kinase,Cea cell adhesion molecule 1
P49715,CEBPA,Non-kinase,Ccaat enhancer binding protein alpha
P17676,CEBPB,Non-kinase,Ccaat enhancer binding protein beta
P49716,CEBPD,Non-kinase,Ccaat enhancer binding protein delta
Q92879,CELF1,Non-kinase,Cugbp elav-like family member 1
P49450,CENPA,Non-kinase,Centromere protein a
Q03188,CENPC,Non-kinase,Centromere protein c
Q02224,CENPE,Non-kinase,Centromere protein e
P49454,CENPF,Non-kinase,Centromere protein f
Q9HC77,CENPJ,Non-kinase,Centromere protein j
Q7L2Z9,CENPQ,Non-kinase,Centromere protein q
Q71F23,CENPU,Non-kinase,Centromere protein u
Q53EZ4,CEP55,Non-kinase,Centrosomal protein 55
Q76N32,CEP68,Non-kinase,Centrosomal protein 68
Q8TAP6,CEP76,Non-kinase,Centrosomal protein 76
Q9Y592,CEP83,Non-kinase,Centrosomal protein 83
Q9UPN4,CEP131,Non-kinase,Centrosomal protein 131
Q9UPV0,CEP164,Non-kinase,Centrosomal protein 164
Q9Y4F5,CEP170B,Non-kinase,Centrosomal protein 170b
Q8TEP8,CEP192,Non-kinase,Centrosomal protein 192
Q9BV73,CEP250,Non-kinase,Centrosomal protein 250
Q9HA82,CERS4,Non-kinase,Ceramide synthase 4
Q8N5B7,CERS5,Non-kinase,Ceramide synthase 5
Q6ZMG9,CERS6,Non-kinase,Ceramide synthase 6
Q9Y5P4,CERT1,Atypical,Ceramide transporter 1
Q12798,CETN1,Non-kinase,Centrin 1
P41208,CETN2,Non-kinase,Centrin 2
P23528,CFL1,Non-kinase,Cofilin 1
Q9Y281,CFL2,Non-kinase,Cofilin 2
O15519,CFLAR,Non-kinase,Casp8 and fadd like apoptosis regulator
P13569,CFTR,Non-kinase,Cf transmembrane conductance regulator
Q8N884,CGAS,Non-kinase,Cyclic gmp-amp synthase
Q9P2M7,CGN,Non-kinase,Cingulin
P28329,CHAT,Non-kinase,Choline o-acetyltransferase
Q9Y6H1,CHCHD2,Non-kinase,Coiled-coil-helix-coiled-coil-helix domain containing 2
Q9NX63,CHCHD3,Non-kinase,Coiled-coil-helix-coiled-coil-helix domain containing 3
Q14839,CHD4,Non-kinase,Chromodomain helicase dna binding protein 4
Q9P2D1,CHD7,Non-kinase,Chromodomain helicase dna binding protein 7
O14757,CHEK1,CAMK,Checkpoint kinase 1
O96017,CHEK2,CAMK,Checkpoint kinase 2
P35790,CHKA,Non-kinase,Choline kinase alpha
Q9Y259,CHKB,Non-kinase,Choline kinase beta
Q96CF2,CHMP4C,Non-kinase,Charged multivesicular body protein 4c
Q8WUX9,CHMP7,Non-kinase,Charged multivesicular body protein 7
P52757,CHN2,Non-kinase,Chimerin 2
P08172,CHRM2,Non-kinase,Cholinergic receptor muscarinic 2
P36544,CHRNA7,Non-kinase,Cholinergic receptor nicotinic alpha 7 subunit
Q8WVB6,CHTF18,Non-kinase,Chromosome transmission fidelity factor 18
Q9Y3Y2,CHTOP,Non-kinase,Chromatin target of prmt1
O15111,CHUK,Other,Component of inhibitor of nuclear factor kappa b kinase complex
Q99828,CIB1,Non-kinase,Calcium and integrin binding 1
Q96RK0,CIC,Non-kinase,Capicua transcriptional repressor
P33076,CIITA,Non-kinase,Class ii major histocompatibility complex transactivator
Q9UPZ9,CILK1,CMGC,Ciliogenesis associated kinase 1
Q8TCG1,CIP2A,Non-kinase,Cellular inhibitor of pp2a
O14578,CIT,AGC,Citron rho-interacting serine/threonine kinase
Q99967,CITED2,Non-kinase,Cbp/p300 interacting transactivator with glu/asp rich carboxy-terminal domain 2
Q8WWK9,CKAP2,Non-kinase,Cytoskeleton associated protein 2
P12532,CKMT1A,Non-kinase,"Creatine kinase, mitochondrial 1a"
P12532,CKMT1B,Non-kinase,"Creatine kinase, mitochondrial 1b"
O75122,CLASP2,Non-kinase,Cytoplasmic linker associated protein 2
P51790,CLCN3,Non-kinase,Chloride voltage-gated channel 3
O95832,CLDN1,Non-kinase,Claudin 1
O15551,CLDN3,Non-kinase,Claudin 3
O14493,CLDN4,Non-kinase,Claudin 4
O95471,CLDN7,Non-kinase,Claudin 7
O75508,CLDN11,Non-kinase,Claudin 11
Q9NZA1,CLIC5,Non-kinase,Chloride intracellular channel 5
P30622,CLIP1,Non-kinase,Cap-gly domain containing linker protein 1
P49759,CLK1,CMGC,Cdc like kinase 1
P49760,CLK2,CMGC,Cdc like kinase 2
P49761,CLK3,CMGC,Cdc like kinase 3
Q9HAZ1,CLK4,CMGC,Cdc like kinase 4
O15516,CLOCK,Non-kinase,Clock circadian regulator
Q9HAW4,CLSPN,Non-kinase,Claspin
P09497,CLTB,Non-kinase,Clathrin light chain b
Q00610,CLTC,Non-kinase,Clathrin heavy chain
Q969H4,CNKSR1,Non-kinase,Connector enhancer of kinase suppressor of ras 1
P51911,CNN1,Non-kinase,Calponin 1
Q99439,CNN2,Non-kinase,Calponin 2
Q15417,CNN3,Non-kinase,Calponin 3
Q9NZN8,CNOT2,Non-kinase,Ccr4-not transcription complex subunit 2
Q8N137,CNTROB,Non-kinase,"Centrobin, centriole duplication and spindle assembly protein"
Q53SF7,COBLL1,Non-kinase,Cordon-bleu wh2 repeat protein like 1
P38432,COIL,Non-kinase,Coilin
Q01955,COL4A3,Non-kinase,Collagen type iv alpha 3 chain
Q9UMD9,COL17A1,Non-kinase,Collagen type xvii alpha 1 chain
Q8NHY2,COP1,Non-kinase,Cop1 e3 ubiquitin ligase
Q92905,COPS5,Non-kinase,Cop9 signalosome subunit 5
Q7L5N1,COPS6,Non-kinase,Cop9 signalosome subunit 6
P31146,CORO1A,Non-kinase,Coronin 1a
Q9BR76,CORO1B,Non-kinase,Coronin 1b
Q9ULV4,CORO1C,Non-kinase,Coronin 1c
P57737,CORO7,Non-kinase,Coronin 7
P16220,CREB1,Non-kinase,Camp responsive element binding protein 1
O43889,CREB3,Non-kinase,Camp responsive element binding protein 3
Q92793,CREBBP,Non-kinase,Creb binding protein
Q03060,CREM,Non-kinase,Camp responsive element modulator
P34998,CRHR1,Non-kinase,Corticotropin releasing hormone receptor 1
P52943,CRIP2,Non-kinase,Cysteine rich protein 2
P46108,CRK,Non-kinase,"Crk proto-oncogene, adaptor protein"
P46109,CRKL,Non-kinase,"Crk like proto-oncogene, adaptor protein"
Q14194,CRMP1,Non-kinase,Collapsin response mediator protein 1
Q5TZA2,CROCC,Non-kinase,"Ciliary rootlet coiled-coil, rootletin"
Q6UUV9,CRTC1,Non-kinase,Creb regulated transcription coactivator 1
Q53ET0,CRTC2,Non-kinase,Creb regulated transcription coactivator 2
Q6UUV7,CRTC3,Non-kinase,Creb regulated transcription coactivator 3
P02511,CRYAB,Non-kinase,Crystallin alpha b
P07333,CSF1R,TK,Colony stimulating factor 1 receptor
P32927,CSF2RB,Non-kinase,Colony stimulating factor 2 receptor subunit beta
Q99062,CSF3R,Non-kinase,Colony stimulating factor 3 receptor
P41240,CSK,TK,C-terminal src kinase
P48729,CSNK1A1,CK1,Casein kinase 1 alpha 1
Q8N752,CSNK1A1L,CK1,Casein kinase 1 alpha 1 like
P48730,CSNK1D,CK1,Casein kinase 1 delta
P49674,CSNK1E,CK1,Casein kinase 1 epsilon
Q9HCP0,CSNK1G1,CK1,Casein kinase 1 gamma 1
P78368,CSNK1G2,CK1,Casein kinase 1 gamma 2
Q9Y6M4,CSNK1G3,CK1,Casein kinase 1 gamma 3
P68400,CSNK2A1,CMGC,Casein kinase 2 alpha 1
P19784,CSNK2A2,CMGC,Casein kinase 2 alpha 2
P67870,CSNK2B,Non-kinase,Casein kinase 2 beta
Q13363,CTBP1,Non-kinase,C-terminal binding protein 1
P56545,CTBP2,Non-kinase,C-terminal binding protein 2
Q9Y5B0,CTDP1,Non-kinase,Ctd phosphatase subunit 1
Q05D32,CTDSPL2,Non-kinase,Ctd small phosphatase like 2
P32929,CTH,Non-kinase,Cystathionine gamma-lyase
P16410,CTLA4,Non-kinase,Cytotoxic t-lymphocyte associated protein 4
P35221,CTNNA1,Non-kinase,Catenin alpha 1
P35222,CTNNB1,Non-kinase,Catenin beta 1
O60716,CTNND1,Non-kinase,Catenin delta 1
P17812,CTPS1,Non-kinase,Ctp synthase 1
Q9NRF8,CTPS2,Non-kinase,Ctp synthase 2
Q6PD62,CTR9,Non-kinase,"Ctr9 homolog, paf1/rna polymerase ii complex component"
Q14247,CTTN,Non-kinase,Cortactin
Q9P2B4,CTTNBP2NL,Non-kinase,Cttnbp2 n-terminal like
Q9H467,CUEDC2,Non-kinase,Cue domain containing 2
Q93034,CUL5,Non-kinase,Cullin 5
P39880,CUX1,Non-kinase,Cut like homeobox 1
Q9NXE8,CWC25,Non-kinase,Cwc25 spliceosome associated protein homolog
P61073,CXCR4,Non-kinase,C-x-c motif chemokine receptor 4
P13498,CYBA,Non-kinase,Cytochrome b-245 alpha chain
P99999,CYCS,Non-kinase,"Cytochrome c, somatic"
Q9NQC7,CYLD,Non-kinase,Cyld lysine 63 deubiquitinase
P08684,CYP3A4,Non-kinase,Cytochrome p450 family 3 subfamily a member 4
P05093,CYP17A1,Non-kinase,Cytochrome p450 family 17 subfamily a member 1
P11511,CYP19A1,Non-kinase,Cytochrome p450 family 19 subfamily a member 1
Q9Y271,CYSLTR1,Non-kinase,Cysteinyl leukotriene receptor 1
Q15438,CYTH1,Non-kinase,Cytohesin 1
Q99418,CYTH2,Non-kinase,Cytohesin 2
Q9Y4D1,DAAM1,Non-kinase,Dishevelled associated activator of morphogenesis 1
O75553,DAB1,Non-kinase,Dab adaptor protein 1
P98082,DAB2,Non-kinase,Dab adaptor protein 2
Q5VWQ8,DAB2IP,Non-kinase,Dab2 interacting protein
Q9NYF0,DACT1,Non-kinase,Dishevelled binding antagonist of beta catenin 1
Q14118,DAG1,Non-kinase,Dystroglycan 1
Q9Y4D2,DAGLA,Non-kinase,Diacylglycerol lipase alpha
P51397,DAP,Non-kinase,Death associated protein
P51398,DAP3,Non-kinase,Death associated protein 3
P53355,DAPK1,CAMK,Death associated protein kinase 1
Q9UIK4,DAPK2,CAMK,Death associated protein kinase 2
O43293,DAPK3,CAMK,Death associated protein kinase 3
Q9UN19,DAPP1,Non-kinase,Dual adaptor of phosphotyrosine and 3-phosphoinositides 1
Q9UER7,DAXX,Non-kinase,Death domain associated protein
Q96EP5,DAZAP1,Non-kinase,Daz associated protein 1
Q92904,DAZL,Non-kinase,Deleted in azoospermia like
Q9UBU7,DBF4,Non-kinase,Dbf4 zinc finger
Q16643,DBN1,Non-kinase,Drebrin 1
Q9UJU6,DBNL,Non-kinase,Drebrin like
Q8N8Z6,DCBLD1,Non-kinase,"Discoidin, cub and lccl domain containing 1"
Q96PD2,DCBLD2,Non-kinase,"Discoidin, cub and lccl domain containing 2"
P27707,DCK,Non-kinase,Deoxycytidine kinase
Q96SD1,DCLRE1C,Non-kinase,Dna cross-link repair 1c
Q9NPI6,DCP1A,Non-kinase,Decapping mrna 1a
Q14203,DCTN1,Non-kinase,Dynactin subunit 1
O00399,DCTN6,Non-kinase,Dynactin subunit 6
O43602,DCX,Non-kinase,Doublecortin
Q9BW61,DDA1,Non-kinase,Det1 and ddb1 associated 1
O95865,DDAH2,Non-kinase,"Ddah family member 2, adma-independent"
Q16531,DDB1,Non-kinase,Damage specific dna binding protein 1
Q8NEL9,DDHD1,Non-kinase,Ddhd domain containing 1
P35638,DDIT3,Non-kinase,Dna damage inducible transcript 3
Q08345,DDR1,TK,Discoidin domain receptor tyrosine kinase 1
Q16832,DDR2,TK,Discoidin domain receptor tyrosine kinase 2
Q92499,DDX1,Non-kinase,Dead-box helicase 1
O00571,DDX3X,Non-kinase,Dead-box helicase 3 x-linked
O15523,DDX3Y,Non-kinase,Dead-box helicase 3 y-linked
P17844,DDX5,Non-kinase,Dead-box helicase 5
Q9NUU7,DDX19A,Non-kinase,Dead-box helicase 19a
Q9UMR2,DDX19B,Non-kinase,Dead-box helicase 19b
Q9GZR7,DDX24,Non-kinase,Dead-box helicase 24
Q9UHL0,DDX25,Non-kinase,Dead-box helicase 25
Q9UJV9,DDX41,Non-kinase,Dead-box helicase 41
Q9Y2R4,DDX52,Non-kinase,Dexd-box helicase 52
Q9H4E7,DEF6,Non-kinase,Def6 guanine nucleotide exchange factor
P35659,DEK,Non-kinase,Dek proto-oncogene
A2RUS2,DENND3,Non-kinase,Denn domain containing 3
O43583,DENR,Non-kinase,Density regulated re-initiation and release factor
Q5TB30,DEPDC1,Non-kinase,Dep domain containing 1
O75140,DEPDC5,Non-kinase,"Dep domain containing 5, gator1 subcomplex subunit"
Q8TB45,DEPTOR,Non-kinase,Dep domain containing mtor interacting protein
P17661,DES,Non-kinase,Desmin
Q8WYQ5,DGCR8,Non-kinase,Dgcr8 microprocessor complex subunit
P23743,DGKA,Non-kinase,Diacylglycerol kinase alpha
Q16760,DGKD,Non-kinase,Diacylglycerol kinase delta
Q13574,DGKZ,Non-kinase,Diacylglycerol kinase zeta
P00374,DHFR,Non-kinase,Dihydrofolate reductase
P49366,DHPS,Non-kinase,Deoxyhypusine synthase
Q92620,DHX38,Non-kinase,Deah-box helicase 38
Q9NR28,DIABLO,Non-kinase,Diablo iap-binding mitochondrial protein
O60610,DIAPH1,Non-kinase,Diaphanous related formin 1
Q9NSV4,DIAPH3,Non-kinase,Diaphanous related formin 3
Q9NRI5,DISC1,Non-kinase,Disc1 scaffold protein
Q155Q3,DIXDC1,Non-kinase,Dix domain containing 1
Q96QB1,DLC1,Non-kinase,Dlc1 rho gtpase activating protein
P09622,DLD,Non-kinase,Dihydrolipoamide dehydrogenase
Q12959,DLG1,Non-kinase,Discs large maguk scaffold protein 1
Q15700,DLG2,Non-kinase,Discs large maguk scaffold protein 2
Q92796,DLG3,Non-kinase,Discs large maguk scaffold protein 3
P78352,DLG4,Non-kinase,Discs large maguk scaffold protein 4
Q8TDM6,DLG5,Non-kinase,Discs large maguk scaffold protein 5
O14490,DLGAP1,Non-kinase,Dlg associated protein 1
Q15398,DLGAP5,Non-kinase,Dlg associated protein 5
O60479,DLX3,Non-kinase,Distal-less homeobox 3
Q9NPF5,DMAP1,Non-kinase,Dna methyltransferase 1 associated protein 1
Q09013,DMPK,AGC,Dm1 protein kinase
Q08495,DMTN,Non-kinase,Dematin actin binding protein
P25685,DNAJB1,Non-kinase,Dnaj heat shock protein family (hsp40) member b1
P25686,DNAJB2,Non-kinase,Dnaj heat shock protein family (hsp40) member b2
Q9H3Z4,DNAJC5,Non-kinase,Dnaj heat shock protein family (hsp40) member c5
O75061,DNAJC6,Non-kinase,Dnaj heat shock protein family (hsp40) member c6
Q05193,DNM1,Non-kinase,Dynamin 1
O00429,DNM1L,Non-kinase,Dynamin 1 like
P50570,DNM2,Non-kinase,Dynamin 2
P26358,DNMT1,Non-kinase,Dna methyltransferase 1
Q9Y6K1,DNMT3A,Non-kinase,Dna methyltransferase 3 alpha
Q9ULA0,DNPEP,Non-kinase,Aspartyl aminopeptidase
Q14184,DOC2B,Non-kinase,Double c2 domain beta
Q14185,DOCK1,Non-kinase,Dedicator of cytokinesis 1
Q92608,DOCK2,Non-kinase,Dedicator of cytokinesis 2
Q96HP0,DOCK6,Non-kinase,Dedicator of cytokinesis 6
Q96N67,DOCK7,Non-kinase,Dedicator of cytokinesis 7
Q8NF50,DOCK8,Non-kinase,Dedicator of cytokinesis 8
Q99704,DOK1,Non-kinase,Docking protein 1
O60496,DOK2,Non-kinase,Docking protein 2
Q92785,DPF2,Non-kinase,Double phd fingers 2
Q92784,DPF3,Non-kinase,Double phd fingers 3
Q16555,DPYSL2,Non-kinase,Dihydropyrimidinase like 2
Q14195,DPYSL3,Non-kinase,Dihydropyrimidinase like 3
Q9BPU6,DPYSL5,Non-kinase,Dihydropyrimidinase like 5
P14416,DRD2,Non-kinase,Dopamine receptor d2
Q9Y295,DRG1,Non-kinase,Developmentally regulated gtp binding protein 1
P55039,DRG2,Non-kinase,Developmentally regulated gtp binding protein 2
Q9NRR4,DROSHA,Non-kinase,Drosha ribonuclease iii
Q9H410,DSN1,Non-kinase,Dsn1 component of mis12 kinetochore complex
P15924,DSP,Non-kinase,Desmoplakin
P60981,DSTN,Non-kinase,"Destrin, actin depolymerizing factor"
Q8TEA8,DTD1,Non-kinase,D-aminoacyl-trna deacylase 1
Q9NZJ0,DTL,Non-kinase,Denticleless e3 ubiquitin protein ligase homolog
O60941,DTNB,Non-kinase,Dystrobrevin beta
Q96EV8,DTNBP1,Non-kinase,Dystrobrevin binding protein 1
P23919,DTYMK,Non-kinase,Deoxythymidylate kinase
Q9NRD9,DUOX1,Non-kinase,Dual oxidase 1
P28562,DUSP1,Non-kinase,Dual specificity phosphatase 1
P51452,DUSP3,Non-kinase,Dual specificity phosphatase 3
Q13115,DUSP4,Non-kinase,Dual specificity phosphatase 4
Q16690,DUSP5,Non-kinase,Dual specificity phosphatase 5
Q16828,DUSP6,Non-kinase,Dual specificity phosphatase 6
Q9Y6W6,DUSP10,Non-kinase,Dual specificity phosphatase 10
Q9BY84,DUSP16,Non-kinase,Dual specificity phosphatase 16
P33316,DUT,Non-kinase,Deoxyuridine triphosphatase
O14641,DVL2,Non-kinase,Dishevelled segment polarity protein 2
Q92997,DVL3,Non-kinase,Dishevelled segment polarity protein 3
P63167,DYNLL1,Non-kinase,Dynein light chain lc8-type 1
Q9NP97,DYNLRB1,Non-kinase,Dynein light chain roadblock-type 1
Q13627,DYRK1A,CMGC,Dual specificity tyrosine phosphorylation regulated kinase 1a
Q9Y463,DYRK1B,CMGC,Dual specificity tyrosine phosphorylation regulated kinase 1b
Q92630,DYRK2,CMGC,Dual specificity tyrosine phosphorylation regulated kinase 2
O43781,DYRK3,CMGC,Dual specificity tyrosine phosphorylation regulated kinase 3
Q9NR20,DYRK4,CMGC,Dual specificity tyrosine phosphorylation regulated kinase 4
Q01094,E2F1,Non-kinase,E2f transcription factor 1
O00716,E2F3,Non-kinase,E2f transcription factor 3
Q16254,E2F4,Non-kinase,E2f transcription factor 4
O75461,E2F6,Non-kinase,E2f transcription factor 6
Q99848,EBNA1BP2,Non-kinase,Ebna1 binding protein 2
O95905,ECD,Non-kinase,Ecdysoneless cell cycle regulator
P42892,ECE1,Non-kinase,Endothelin converting enzyme 1
Q9H8V3,ECT2,Non-kinase,Epithelial cell transforming 2
Q96F86,EDC3,Non-kinase,Enhancer of mrna decapping 3
Q6P2E9,EDC4,Non-kinase,Enhancer of mrna decapping 4
O60869,EDF1,Non-kinase,Endothelial differentiation related factor 1
P25101,EDNRA,Non-kinase,Endothelin receptor type a
Q15075,EEA1,Non-kinase,Early endosome antigen 1
P68104,EEF1A1,Non-kinase,Eukaryotic translation elongation factor 1 alpha 1
Q05639,EEF1A2,Non-kinase,Eukaryotic translation elongation factor 1 alpha 2
P24534,EEF1B2,Non-kinase,Eukaryotic translation elongation factor 1 beta 2
P29692,EEF1D,Non-kinase,Eukaryotic translation elongation factor 1 delta
P13639,EEF2,Non-kinase,Eukaryotic translation elongation factor 2
O00418,EEF2K,Atypical,Eukaryotic elongation factor 2 kinase
Q96C19,EFHD2,Non-kinase,Ef-hand domain family member d2
P52799,EFNB2,Non-kinase,Ephrin b2
P00533,EGFR,TK,Epidermal growth factor receptor
Q9GZT9,EGLN1,Non-kinase,Egl-9 family hypoxia inducible factor 1
Q96KS0,EGLN2,Non-kinase,Egl-9 family hypoxia inducible factor 2
P18146,EGR1,Non-kinase,Early growth response 1
Q96KQ7,EHMT2,Non-kinase,Euchromatic histone lysine methyltransferase 2
Q9BY44,EIF2A,Non-kinase,Eukaryotic translation initiation factor 2a
Q9BQI3,EIF2AK1,Other,Eukaryotic translation initiation factor 2 alpha kinase 1
P19525,EIF2AK2,Other,Eukaryotic translation initiation factor 2 alpha kinase 2
Q9NZJ5,EIF2AK3,Other,Eukaryotic translation initiation factor 2 alpha kinase 3
Q9P2K8,EIF2AK4,Other,Eukaryotic translation initiation factor 2 alpha kinase 4
Q13144,EIF2B5,Non-kinase,Eukaryotic translation initiation factor 2b subunit epsilon
P05198,EIF2S1,Non-kinase,Eukaryotic translation initiation factor 2 subunit alpha
P20042,EIF2S2,Non-kinase,Eukaryotic translation initiation factor 2 subunit beta
P41091,EIF2S3,Non-kinase,Eukaryotic translation initiation factor 2 subunit gamma
O00303,EIF3F,Non-kinase,Eukaryotic translation initiation factor 3 subunit f
O75822,EIF3J,Non-kinase,Eukaryotic translation initiation factor 3 subunit j
P38919,EIF4A3,Non-kinase,Eukaryotic translation initiation factor 4a3
P23588,EIF4B,Non-kinase,Eukaryotic translation initiation factor 4b
P06730,EIF4E,Non-kinase,Eukaryotic translation initiation factor 4e
Q13541,EIF4EBP1,Non-kinase,Eukaryotic translation initiation factor 4e binding protein 1
Q9NRA8,EIF4ENIF1,Non-kinase,Eukaryotic translation initiation factor 4e nuclear import factor 1
Q04637,EIF4G1,Non-kinase,Eukaryotic translation initiation factor 4 gamma 1
P78344,EIF4G2,Non-kinase,Eukaryotic translation initiation factor 4 gamma 2
O43432,EIF4G3,Non-kinase,Eukaryotic translation initiation factor 4 gamma 3
P55010,EIF5,Non-kinase,Eukaryotic translation initiation factor 5
P56537,EIF6,Non-kinase,Eukaryotic translation initiation factor 6
Q15717,ELAVL1,Non-kinase,Elav like rna binding protein 1
P78545,ELF3,Non-kinase,E74 like ets transcription factor 3
Q99607,ELF4,Non-kinase,E74 like ets transcription factor 4
P19419,ELK1,Non-kinase,Ets transcription factor elk1
P41970,ELK3,Non-kinase,Ets transcription factor elk3
P28324,ELK4,Non-kinase,Ets transcription factor elk4
P55199,ELL,Non-kinase,Elongation factor for rna polymerase ii
Q92556,ELMO1,Non-kinase,Engulfment and cell motility 1
Q96JJ3,ELMO2,Non-kinase,Engulfment and cell motility 2
Q14241,ELOA,Non-kinase,Elongin a
O95163,ELP1,Non-kinase,Elongator acetyltransferase complex subunit 1
Q9H9T3,ELP3,Non-kinase,Elongator acetyltransferase complex subunit 3
P50402,EMD,Non-kinase,Emerin
Q32P44,EML3,Non-kinase,Emap like 3
Q9HC35,EML4,Non-kinase,Emap like 4
Q7Z589,EMSY,Non-kinase,"Emsy transcriptional repressor, brca2 interacting"
Q14249,ENDOG,Non-kinase,Endonuclease g
P17813,ENG,Non-kinase,Endoglin
P06733,ENO1,Non-kinase,Enolase 1
Q16206,ENOX2,Non-kinase,Ecto-nox disulfide-thiol exchanger 2
O43768,ENSA,Non-kinase,Endosulfine alpha
Q09472,EP300,Non-kinase,E1a binding protein p300
Q96L91,EP400,Non-kinase,E1a binding protein p400
Q99814,EPAS1,Non-kinase,Endothelial pas domain protein 1
P11171,EPB41,Non-kinase,Erythrocyte membrane protein band 4.1
Q9Y2J2,EPB41L3,Non-kinase,Erythrocyte membrane protein band 4.1 like 3
P21709,EPHA1,TK,Eph receptor a1
P29317,EPHA2,TK,Eph receptor a2
P29320,EPHA3,TK,Eph receptor a3
P54764,EPHA4,TK,Eph receptor a4
P54756,EPHA5,TK,Eph receptor a5
Q9UF33,EPHA6,TK,Eph receptor a6
Q15375,EPHA7,TK,Eph receptor a7
P29322,EPHA8,TK,Eph receptor a8
P54762,EPHB1,TK,Eph receptor b1
P29323,EPHB2,TK,Eph receptor b2
P54753,EPHB3,TK,Eph receptor b3
P54760,EPHB4,TK,Eph receptor b4
O95278,EPM2A,Non-kinase,"Epm2a glucan phosphatase, laforin"
Q9Y6I3,EPN1,Non-kinase,Epsin 1
P19235,EPOR,Non-kinase,Erythropoietin receptor
P07814,EPRS1,Non-kinase,Glutamyl-prolyl-trna synthetase 1
Q12929,EPS8,Non-kinase,Epidermal growth factor receptor pathway substrate 8
P42566,EPS15,Non-kinase,Epidermal growth factor receptor pathway substrate 15
O75616,ERAL1,Non-kinase,Era like 12s mitochondrial rrna chaperone 1
P04626,ERBB2,TK,Erb-b2 receptor tyrosine kinase 2
P21860,ERBB3,TK,Erb-b2 receptor tyrosine kinase 3
Q15303,ERBB4,TK,Erb-b2 receptor tyrosine kinase 4
P19447,ERCC3,Non-kinase,"Ercc excision repair 3, tfiih core complex helicase subunit"
Q03468,ERCC6,Non-kinase,"Ercc excision repair 6, chromatin remodeling factor"
Q2NKX8,ERCC6L,Non-kinase,"Ercc excision repair 6 like, spindle assembly checkpoint helicase"
P50548,ERF,Non-kinase,Ets2 repressor factor
P11308,ERG,Non-kinase,Ets transcription factor erg
P84090,ERH,Non-kinase,Erh mrna splicing and mitosis factor
O75460,ERN1,Other,Endoplasmic reticulum to nucleus signaling 1
Q9UJM3,ERRFI1,Non-kinase,Erbb receptor feedback inhibitor 1
Q14674,ESPL1,Non-kinase,"Extra spindle pole bodies like 1, separase"
P03372,ESR1,Non-kinase,Estrogen receptor 1
Q92731,ESR2,Non-kinase,Estrogen receptor 2
Q9NY74,ETAA1,Non-kinase,Etaa1 activator of atr kinase
P14921,ETS1,Non-kinase,"Ets proto-oncogene 1, transcription factor"
P15036,ETS2,Non-kinase,"Ets proto-oncogene 2, transcription factor"
P50549,ETV1,Non-kinase,Ets variant transcription factor 1
P41161,ETV5,Non-kinase,Ets variant transcription factor 5
P41212,ETV6,Non-kinase,Ets variant transcription factor 6
Q01844,EWSR1,Non-kinase,Ews rna binding protein 1
Q9UQ84,EXO1,Non-kinase,Exonuclease 1
Q9UPT5,EXOC7,Non-kinase,Exocyst complex component 7
